"County","County_FIPS","County Seat","State","State_FIPS","STATEFP","COUNTYFP"
"Autauga County","1","Prattville","Alabama","1","01","001"
"Baldwin County","3","Bay Minette","Alabama","1","01","003"
"Barbour County","5","Clayton","Alabama","1","01","005"
"Bibb County","7","Centreville","Alabama","1","01","007"
"Blount County","9","Oneonta","Alabama","1","01","009"
"Bullock County","11","Union Springs","Alabama","1","01","011"
"Butler County","13","Greenville","Alabama","1","01","013"
"Calhoun County","15","Anniston","Alabama","1","01","015"
"Chambers County","17","LaFayette","Alabama","1","01","017"
"Cherokee County","19","Centre","Alabama","1","01","019"
"Chilton County","21","Clanton","Alabama","1","01","021"
"Choctaw County","23","Butler","Alabama","1","01","023"
"Clarke County","25","Grove Hill","Alabama","1","01","025"
"Clay County","27","Ashland","Alabama","1","01","027"
"Cleburne County","29","Heflin","Alabama","1","01","029"
"Coffee County","31","Elba and Enterprise[15]","Alabama","1","01","031"
"Colbert County","33","Tuscumbia","Alabama","1","01","033"
"Conecuh County","35","Evergreen","Alabama","1","01","035"
"Coosa County","37","Rockford","Alabama","1","01","037"
"Covington County","39","Andalusia","Alabama","1","01","039"
"Crenshaw County","41","Luverne","Alabama","1","01","041"
"Cullman County","43","Cullman","Alabama","1","01","043"
"Dale County","45","Ozark","Alabama","1","01","045"
"Dallas County","47","Selma","Alabama","1","01","047"
"DeKalb County","49","Fort Payne","Alabama","1","01","049"
"Elmore County","51","Wetumpka","Alabama","1","01","051"
"Escambia County","53","Brewton","Alabama","1","01","053"
"Etowah County","55","Gadsden","Alabama","1","01","055"
"Fayette County","57","Fayette","Alabama","1","01","057"
"Franklin County","59","Russellville","Alabama","1","01","059"
"Geneva County","61","Geneva","Alabama","1","01","061"
"Greene County","63","Eutaw","Alabama","1","01","063"
"Hale County","65","Greensboro","Alabama","1","01","065"
"Henry County","67","Abbeville","Alabama","1","01","067"
"Houston County","69","Dothan","Alabama","1","01","069"
"Jackson County","71","Scottsboro","Alabama","1","01","071"
"Jefferson County","73","Birmingham","Alabama","1","01","073"
"Lamar County","75","Vernon","Alabama","1","01","075"
"Lauderdale County","77","Florence","Alabama","1","01","077"
"Lawrence County","79","Moulton","Alabama","1","01","079"
"Lee County","81","Opelika","Alabama","1","01","081"
"Limestone County","83","Athens","Alabama","1","01","083"
"Lowndes County","85","Hayneville","Alabama","1","01","085"
"Macon County","87","Tuskegee","Alabama","1","01","087"
"Madison County","89","Huntsville","Alabama","1","01","089"
"Marengo County","91","Linden","Alabama","1","01","091"
"Marion County","93","Hamilton","Alabama","1","01","093"
"Marshall County","95","Guntersville","Alabama","1","01","095"
"Mobile County","97","Mobile","Alabama","1","01","097"
"Monroe County","99","Monroeville","Alabama","1","01","099"
"Montgomery County","101","Montgomery","Alabama","1","01","101"
"Morgan County","103","Decatur","Alabama","1","01","103"
"Perry County","105","Marion","Alabama","1","01","105"
"Pickens County","107","Carrollton","Alabama","1","01","107"
"Pike County","109","Troy","Alabama","1","01","109"
"Randolph County","111","Wedowee","Alabama","1","01","111"
"Russell County","113","Phenix City","Alabama","1","01","113"
"St. Clair County","115","Ashville and Pell City","Alabama","1","01","115"
"Shelby County","117","Columbiana","Alabama","1","01","117"
"Sumter County","119","Livingston","Alabama","1","01","119"
"Talladega County","121","Talladega","Alabama","1","01","121"
"Tallapoosa County","123","Dadeville","Alabama","1","01","123"
"Tuscaloosa County","125","Tuscaloosa","Alabama","1","01","125"
"Walker County","127","Jasper","Alabama","1","01","127"
"Washington County","129","Chatom","Alabama","1","01","129"
"Wilcox County","131","Camden","Alabama","1","01","131"
"Winston County","133","Double Springs","Alabama","1","01","133"
"Aleutians East Borough","013","Sand Point","Alaska","2","02","013"
"Municipality of Anchorage","020","(Consolidated
city-borough)","Alaska","2","02","020"
"Bristol Bay Borough","060","Naknek","Alaska","2","02","060"
"Denali Borough","068","Healy","Alaska","2","02","068"
"Fairbanks North Star Borough","090","Fairbanks","Alaska","2","02","090"
"Haines Borough","100","(Consolidated
city-borough)","Alaska","2","02","100"
"City and Borough of Juneau","110","(Consolidated
city-borough)","Alaska","2","02","110"
"Kenai Peninsula Borough","122","Soldotna","Alaska","2","02","122"
"Ketchikan Gateway Borough","130","Ketchikan","Alaska","2","02","130"
"Kodiak Island Borough","150","Kodiak","Alaska","2","02","150"
"Lake and Peninsula Borough","164","King Salmon","Alaska","2","02","164"
"Matanuska-Susitna Borough","170","Palmer","Alaska","2","02","170"
"North Slope Borough","185","Barrow","Alaska","2","02","185"
"Northwest Arctic Borough","188","Kotzebue","Alaska","2","02","188"
"Petersburg Borough","195","Petersburg","Alaska","2","02","195"
"City and Borough of Sitka","220","(Consolidated
city-borough)","Alaska","2","02","220"
"Municipality of Skagway","230","(Consolidated
city-borough)","Alaska","2","02","230"
"Unorganized Borough","-","-","Alaska","2","02","00-"
"City and Borough of Wrangell","275","(Consolidated
city-borough)","Alaska","2","02","275"
"City and Borough of Yakutat","282","(Consolidated
city-borough)","Alaska","2","02","282"
"Apache County","1","St. Johns","Arizona","4","04","001"
"Cochise County","3","Bisbee","Arizona","4","04","003"
"Coconino County","5","Flagstaff","Arizona","4","04","005"
"Gila County","7","Globe","Arizona","4","04","007"
"Graham County","9","Safford","Arizona","4","04","009"
"Greenlee County","11","Clifton","Arizona","4","04","011"
"La Paz County","12","Parker","Arizona","4","04","012"
"Maricopa County","13","Phoenix","Arizona","4","04","013"
"Mohave County","15","Kingman","Arizona","4","04","015"
"Navajo County","17","Holbrook","Arizona","4","04","017"
"Pima County","19","Tucson","Arizona","4","04","019"
"Pinal County","21","Florence","Arizona","4","04","021"
"Santa Cruz County","23","Nogales","Arizona","4","04","023"
"Yavapai County","25","Prescott","Arizona","4","04","025"
"Yuma County","27","Yuma","Arizona","4","04","027"
"Arkansas County","1","De Witt andStuttgart","Arkansas","5","05","001"
"Ashley County","3","Hamburg","Arkansas","5","05","003"
"Baxter County","5","Mountain Home","Arkansas","5","05","005"
"Benton County","7","Bentonville","Arkansas","5","05","007"
"Boone County","9","Harrison","Arkansas","5","05","009"
"Bradley County","11","Warren","Arkansas","5","05","011"
"Calhoun County","13","Hampton","Arkansas","5","05","013"
"Carroll County","15","Berryville andEureka Springs","Arkansas","5","05","015"
"Chicot County","17","Lake Village","Arkansas","5","05","017"
"Clark County","19","Arkadelphia","Arkansas","5","05","019"
"Clay County","21","Piggott andCorning","Arkansas","5","05","021"
"Cleburne County","23","Heber Springs","Arkansas","5","05","023"
"Cleveland County","25","Rison","Arkansas","5","05","025"
"Columbia County","27","Magnolia","Arkansas","5","05","027"
"Conway County","29","Morrilton","Arkansas","5","05","029"
"Craighead County","31","Jonesboro andLake City","Arkansas","5","05","031"
"Crawford County","33","Van Buren","Arkansas","5","05","033"
"Crittenden County","35","Marion","Arkansas","5","05","035"
"Cross County","37","Wynne","Arkansas","5","05","037"
"Dallas County","39","Fordyce","Arkansas","5","05","039"
"Desha County","41","Arkansas City","Arkansas","5","05","041"
"Drew County","43","Monticello","Arkansas","5","05","043"
"Faulkner County","45","Conway","Arkansas","5","05","045"
"Franklin County","47","Ozark andCharleston","Arkansas","5","05","047"
"Fulton County","49","Salem","Arkansas","5","05","049"
"Garland County","51","Hot Springs","Arkansas","5","05","051"
"Grant County","53","Sheridan","Arkansas","5","05","053"
"Greene County","55","Paragould","Arkansas","5","05","055"
"Hempstead County","57","Hope","Arkansas","5","05","057"
"Hot Spring County","59","Malvern","Arkansas","5","05","059"
"Howard County","61","Nashville","Arkansas","5","05","061"
"Independence County","63","Batesville","Arkansas","5","05","063"
"Izard County","65","Melbourne","Arkansas","5","05","065"
"Jackson County","67","Newport","Arkansas","5","05","067"
"Jefferson County","69","Pine Bluff","Arkansas","5","05","069"
"Johnson County","71","Clarksville","Arkansas","5","05","071"
"Lafayette County","73","Lewisville","Arkansas","5","05","073"
"Lawrence County","75","Walnut Ridge","Arkansas","5","05","075"
"Lee County","77","Marianna","Arkansas","5","05","077"
"Lincoln County","79","Star City","Arkansas","5","05","079"
"Little River County","81","Ashdown","Arkansas","5","05","081"
"Logan County","83","Booneville andParis","Arkansas","5","05","083"
"Lonoke County","85","Lonoke","Arkansas","5","05","085"
"Madison County","87","Huntsville","Arkansas","5","05","087"
"Marion County","89","Yellville","Arkansas","5","05","089"
"Miller County","91","Texarkana","Arkansas","5","05","091"
"Mississippi County","93","Blytheville andOsceola","Arkansas","5","05","093"
"Monroe County","95","Clarendon","Arkansas","5","05","095"
"Montgomery County","97","Mount Ida","Arkansas","5","05","097"
"Nevada County","99","Prescott","Arkansas","5","05","099"
"Newton County","101","Jasper","Arkansas","5","05","101"
"Ouachita County","103","Camden","Arkansas","5","05","103"
"Perry County","105","Perryville","Arkansas","5","05","105"
"Phillips County","107","Helena","Arkansas","5","05","107"
"Pike County","109","Murfreesboro","Arkansas","5","05","109"
"Poinsett County","111","Harrisburg","Arkansas","5","05","111"
"Polk County","113","Mena","Arkansas","5","05","113"
"Pope County","115","Russellville","Arkansas","5","05","115"
"Prairie County","117","Des Arc andDeValls Bluff","Arkansas","5","05","117"
"Pulaski County","119","Little Rock","Arkansas","5","05","119"
"Randolph County","121","Pocahontas","Arkansas","5","05","121"
"St. Francis County","123","Forrest City","Arkansas","5","05","123"
"Saline County","125","Benton","Arkansas","5","05","125"
"Scott County","127","Waldron","Arkansas","5","05","127"
"Searcy County","129","Marshall","Arkansas","5","05","129"
"Sebastian County","131","Greenwood andFort Smith","Arkansas","5","05","131"
"Sevier County","133","De Queen","Arkansas","5","05","133"
"Sharp County","135","Ash Flat","Arkansas","5","05","135"
"Stone County","137","Mountain View","Arkansas","5","05","137"
"Union County","139","El Dorado","Arkansas","5","05","139"
"Van Buren County","141","Clinton","Arkansas","5","05","141"
"Washington County","143","Fayetteville","Arkansas","5","05","143"
"White County","145","Searcy","Arkansas","5","05","145"
"Woodruff County","147","Augusta","Arkansas","5","05","147"
"Yell County","149","Danville and Dardanelle","Arkansas","5","05","149"
"Alameda County","1","Oakland","California","6","06","001"
"Alpine County","3","Markleeville","California","6","06","003"
"Amador County","5","Jackson","California","6","06","005"
"Butte County","7","Oroville","California","6","06","007"
"Calaveras County","9","San Andreas","California","6","06","009"
"Colusa County","11","Colusa","California","6","06","011"
"Contra Costa County","13","Martinez","California","6","06","013"
"Del Norte County","15","Crescent City","California","6","06","015"
"El Dorado County","17","Placerville","California","6","06","017"
"Fresno County","19","Fresno","California","6","06","019"
"Glenn County","21","Willows","California","6","06","021"
"Humboldt County","23","Eureka","California","6","06","023"
"Imperial County","25","El Centro","California","6","06","025"
"Inyo County","27","Independence","California","6","06","027"
"Kern County","29","Bakersfield","California","6","06","029"
"Kings County","31","Hanford","California","6","06","031"
"Lake County","33","Lakeport","California","6","06","033"
"Lassen County","35","Susanville","California","6","06","035"
"Los Angeles County","37","Los Angeles","California","6","06","037"
"Madera County","39","Madera","California","6","06","039"
"Marin County","41","San Rafael","California","6","06","041"
"Mariposa County","43","Mariposa","California","6","06","043"
"Mendocino County","45","Ukiah","California","6","06","045"
"Merced County","47","Merced","California","6","06","047"
"Modoc County","49","Alturas","California","6","06","049"
"Mono County","51","Bridgeport","California","6","06","051"
"Monterey County","53","Salinas","California","6","06","053"
"Napa County","55","Napa","California","6","06","055"
"Nevada County","57","Nevada City","California","6","06","057"
"Orange County","59","Santa Ana","California","6","06","059"
"Placer County","61","Auburn","California","6","06","061"
"Plumas County","63","Quincy","California","6","06","063"
"Riverside County","65","Riverside","California","6","06","065"
"Sacramento County","67","Sacramento","California","6","06","067"
"San Benito County","69","Hollister","California","6","06","069"
"San Bernardino County","71","San Bernardino","California","6","06","071"
"San Diego County","73","San Diego","California","6","06","073"
"City and County of San Francisco","75","San Francisco","California","6","06","075"
"San Joaquin County","77","Stockton","California","6","06","077"
"San Luis Obispo County","79","San Luis Obispo","California","6","06","079"
"San Mateo County","81","Redwood City","California","6","06","081"
"Santa Barbara County","83","Santa Barbara","California","6","06","083"
"Santa Clara County","85","San Jose","California","6","06","085"
"Santa Cruz County","87","Santa Cruz","California","6","06","087"
"Shasta County","89","Redding","California","6","06","089"
"Sierra County","91","Downieville","California","6","06","091"
"Siskiyou County","93","Yreka","California","6","06","093"
"Solano County","95","Fairfield","California","6","06","095"
"Sonoma County","97","Santa Rosa","California","6","06","097"
"Stanislaus County","99","Modesto","California","6","06","099"
"Sutter County","101","Yuba City","California","6","06","101"
"Tehama County","103","Red Bluff","California","6","06","103"
"Trinity County","105","Weaverville","California","6","06","105"
"Tulare County","107","Visalia","California","6","06","107"
"Tuolumne County","109","Sonora","California","6","06","109"
"Ventura County","111","Ventura","California","6","06","111"
"Yolo County","113","Woodland","California","6","06","113"
"Yuba County","115","Marysville","California","6","06","115"
"Adams County","1","Brighton","Colorado","8","08","001"
"Alamosa County","3","Alamosa","Colorado","8","08","003"
"Arapahoe County","5","Littleton","Colorado","8","08","005"
"Archuleta County","7","Pagosa Springs","Colorado","8","08","007"
"Baca County","9","Springfield","Colorado","8","08","009"
"Bent County","11","Las Animas","Colorado","8","08","011"
"Boulder County","13","Boulder","Colorado","8","08","013"
"City and County of Broomfield","14","Broomfield","Colorado","8","08","014"
"Chaffee County","15","Salida","Colorado","8","08","015"
"Cheyenne County","17","Cheyenne Wells","Colorado","8","08","017"
"Clear Creek County","19","Georgetown","Colorado","8","08","019"
"Conejos County","21","Conejos","Colorado","8","08","021"
"Costilla County","23","San Luis","Colorado","8","08","023"
"Crowley County","25","Ordway","Colorado","8","08","025"
"Custer County","27","Westcliffe","Colorado","8","08","027"
"Delta County","29","Delta","Colorado","8","08","029"
"City and County of Denver","31","Denver","Colorado","8","08","031"
"Dolores County","33","Dove Creek","Colorado","8","08","033"
"Douglas County","35","Castle Rock","Colorado","8","08","035"
"Eagle County","37","Eagle","Colorado","8","08","037"
"El Paso County","41","Colorado Springs","Colorado","8","08","041"
"Elbert County","39","Kiowa","Colorado","8","08","039"
"Fremont County","43","Cañon City","Colorado","8","08","043"
"Garfield County","45","Glenwood Springs","Colorado","8","08","045"
"Gilpin County","47","Central City","Colorado","8","08","047"
"Grand County","49","Hot Sulphur Springs","Colorado","8","08","049"
"Gunnison County","51","Gunnison","Colorado","8","08","051"
"Hinsdale County","53","Lake City","Colorado","8","08","053"
"Huerfano County","55","Walsenburg","Colorado","8","08","055"
"Jackson County","57","Walden","Colorado","8","08","057"
"Jefferson County","59","Golden","Colorado","8","08","059"
"Kiowa County","61","Eads","Colorado","8","08","061"
"Kit Carson County","63","Burlington","Colorado","8","08","063"
"La Plata County","67","Durango","Colorado","8","08","067"
"Lake County","65","Leadville","Colorado","8","08","065"
"Larimer County","69","Fort Collins","Colorado","8","08","069"
"Las Animas County","71","Trinidad","Colorado","8","08","071"
"Lincoln County","73","Hugo","Colorado","8","08","073"
"Logan County","75","Sterling","Colorado","8","08","075"
"Mesa County","77","Grand Junction","Colorado","8","08","077"
"Mineral County","79","Creede","Colorado","8","08","079"
"Moffat County","81","Craig","Colorado","8","08","081"
"Montezuma County","83","Cortez","Colorado","8","08","083"
"Montrose County","85","Montrose","Colorado","8","08","085"
"Morgan County","87","Fort Morgan","Colorado","8","08","087"
"Otero County","89","La Junta","Colorado","8","08","089"
"Ouray County","91","Ouray","Colorado","8","08","091"
"Park County","93","Fairplay","Colorado","8","08","093"
"Phillips County","95","Holyoke","Colorado","8","08","095"
"Pitkin County","97","Aspen","Colorado","8","08","097"
"Prowers County","99","Lamar","Colorado","8","08","099"
"Pueblo County","101","Pueblo","Colorado","8","08","101"
"Rio Blanco County","103","Meeker","Colorado","8","08","103"
"Rio Grande County","105","Del Norte","Colorado","8","08","105"
"Routt County","107","Steamboat Springs","Colorado","8","08","107"
"Saguache County","109","Saguache","Colorado","8","08","109"
"San Juan County","111","Silverton","Colorado","8","08","111"
"San Miguel County","113","Telluride","Colorado","8","08","113"
"Sedgwick County","115","Julesburg","Colorado","8","08","115"
"Summit County","117","Breckenridge","Colorado","8","08","117"
"Teller County","119","Cripple Creek","Colorado","8","08","119"
"Washington County","121","Akron","Colorado","8","08","121"
"Weld County","123","Greeley","Colorado","8","08","123"
"Yuma County","125","Wray","Colorado","8","08","125"
"Fairfield County","1","Fairfield (1666–1853)Bridgeport (1853–1960)","Connecticut","9","09","001"
"Hartford County","3","Hartford (1666–1960)","Connecticut","9","09","003"
"Litchfield County","5","Litchfield (1751–1960)","Connecticut","9","09","005"
"Middlesex County","7","Middletown (1785–1960)","Connecticut","9","09","007"
"New Haven County","9","New Haven (1666–1960)","Connecticut","9","09","009"
"New London County","11","New London (1666–1960)","Connecticut","9","09","011"
"Tolland County","13","Tolland (1785–1889)Rockville (1889–1960)","Connecticut","9","09","013"
"Windham County","15","Windham (1726–1819)Brooklyn (1819–1895)Willimantic and Putnam (1895–1960)","Connecticut","9","09","015"
"Kent County","1","Dover","Delaware","10","0010","001"
"New Castle County","3","Wilmington","Delaware","10","0010","003"
"Sussex County","5","Georgetown","Delaware","10","0010","005"
"Alachua County","1","Gainesville","Florida","12","0012","001"
"Baker County","3","Macclenny","Florida","12","0012","003"
"Bay County","5","Panama City","Florida","12","0012","005"
"Bradford County","7","Starke","Florida","12","0012","007"
"Brevard County","9","Titusville","Florida","12","0012","009"
"Broward County","11","Fort Lauderdale","Florida","12","0012","011"
"Calhoun County","13","Blountstown","Florida","12","0012","013"
"Charlotte County","15","Punta Gorda","Florida","12","0012","015"
"Citrus County","17","Inverness","Florida","12","0012","017"
"Clay County","19","Green Cove Springs","Florida","12","0012","019"
"Collier County","21","East Naples","Florida","12","0012","021"
"Columbia County","23","Lake City","Florida","12","0012","023"
"DeSoto County","27","Arcadia","Florida","12","0012","027"
"Dixie County","29","Cross City","Florida","12","0012","029"
"Duval County","31","Jacksonville","Florida","12","0012","031"
"Escambia County","33","Pensacola","Florida","12","0012","033"
"Flagler County","35","Bunnell","Florida","12","0012","035"
"Franklin County","37","Apalachicola","Florida","12","0012","037"
"Gadsden County","39","Quincy","Florida","12","0012","039"
"Gilchrist County","41","Trenton","Florida","12","0012","041"
"Glades County","43","Moore Haven","Florida","12","0012","043"
"Gulf County","45","Port St. Joe","Florida","12","0012","045"
"Hamilton County","47","Jasper","Florida","12","0012","047"
"Hardee County","49","Wauchula","Florida","12","0012","049"
"Hendry County","51","LaBelle","Florida","12","0012","051"
"Hernando County","53","Brooksville","Florida","12","0012","053"
"Highlands County","55","Sebring","Florida","12","0012","055"
"Hillsborough County","57","Tampa","Florida","12","0012","057"
"Holmes County","59","Bonifay","Florida","12","0012","059"
"Indian River County","61","Vero Beach","Florida","12","0012","061"
"Jackson County","63","Marianna","Florida","12","0012","063"
"Jefferson County","65","Monticello","Florida","12","0012","065"
"Lafayette County","67","Mayo","Florida","12","0012","067"
"Lake County","69","Tavares","Florida","12","0012","069"
"Lee County","71","Fort Myers","Florida","12","0012","071"
"Leon County","73","Tallahassee","Florida","12","0012","073"
"Levy County","75","Bronson","Florida","12","0012","075"
"Liberty County","77","Bristol","Florida","12","0012","077"
"Madison County","79","Madison","Florida","12","0012","079"
"Manatee County","81","Bradenton","Florida","12","0012","081"
"Marion County","83","Ocala","Florida","12","0012","083"
"Martin County","85","Stuart","Florida","12","0012","085"
"Miami-Dade County","86","Miami","Florida","12","0012","086"
"Monroe County","87","Key West","Florida","12","0012","087"
"Nassau County","89","Fernandina Beach","Florida","12","0012","089"
"Okaloosa County","91","Crestview","Florida","12","0012","091"
"Okeechobee County","93","Okeechobee","Florida","12","0012","093"
"Orange County","95","Orlando","Florida","12","0012","095"
"Osceola County","97","Kissimmee","Florida","12","0012","097"
"Palm Beach County","99","West Palm Beach","Florida","12","0012","099"
"Pasco County","101","Dade City","Florida","12","0012","101"
"Pinellas County","103","Clearwater","Florida","12","0012","103"
"Polk County","105","Bartow","Florida","12","0012","105"
"Putnam County","107","Palatka","Florida","12","0012","107"
"St. Johns County","109","St. Augustine","Florida","12","0012","109"
"St. Lucie County","111","Fort Pierce","Florida","12","0012","111"
"Santa Rosa County","113","Milton","Florida","12","0012","113"
"Sarasota County","115","Sarasota","Florida","12","0012","115"
"Seminole County","117","Sanford","Florida","12","0012","117"
"Sumter County","119","Bushnell","Florida","12","0012","119"
"Suwannee County","121","Live Oak","Florida","12","0012","121"
"Taylor County","123","Perry","Florida","12","0012","123"
"Union County","125","Lake Butler","Florida","12","0012","125"
"Volusia County","127","DeLand","Florida","12","0012","127"
"Wakulla County","129","Crawfordville","Florida","12","0012","129"
"Walton County","131","DeFuniak Springs","Florida","12","0012","131"
"Washington County","133","Chipley","Florida","12","0012","133"
"Appling County","1","Baxley","Georgia","13","0013","001"
"Atkinson County","3","Pearson","Georgia","13","0013","003"
"Bacon County","5","Alma","Georgia","13","0013","005"
"Baker County","7","Newton","Georgia","13","0013","007"
"Baldwin County","9","Milledgeville","Georgia","13","0013","009"
"Banks County","11","Homer","Georgia","13","0013","011"
"Barrow County","13","Winder","Georgia","13","0013","013"
"Bartow County","15","Cartersville","Georgia","13","0013","015"
"Ben Hill County","17","Fitzgerald","Georgia","13","0013","017"
"Berrien County","19","Nashville","Georgia","13","0013","019"
"Bibb County","21","Macon","Georgia","13","0013","021"
"Bleckley County","23","Cochran","Georgia","13","0013","023"
"Brantley County","25","Nahunta","Georgia","13","0013","025"
"Brooks County","27","Quitman","Georgia","13","0013","027"
"Bryan County","29","Pembroke","Georgia","13","0013","029"
"Bulloch County","31","Statesboro","Georgia","13","0013","031"
"Burke County","33","Waynesboro","Georgia","13","0013","033"
"Butts County","35","Jackson","Georgia","13","0013","035"
"Calhoun County","37","Morgan","Georgia","13","0013","037"
"Camden County","39","Woodbine","Georgia","13","0013","039"
"Candler County","43","Metter","Georgia","13","0013","043"
"Carroll County","45","Carrollton","Georgia","13","0013","045"
"Catoosa County","47","Ringgold","Georgia","13","0013","047"
"Charlton County","49","Folkston","Georgia","13","0013","049"
"Chatham County","51","Savannah","Georgia","13","0013","051"
"Chattahoochee County","53","Cusseta","Georgia","13","0013","053"
"Chattooga County","55","Summerville","Georgia","13","0013","055"
"Cherokee County","57","Canton","Georgia","13","0013","057"
"Clarke County","59","Athens","Georgia","13","0013","059"
"Clay County","61","Fort Gaines","Georgia","13","0013","061"
"Clayton County","63","Jonesboro","Georgia","13","0013","063"
"Clinch County","65","Homerville","Georgia","13","0013","065"
"Cobb County","67","Marietta","Georgia","13","0013","067"
"Coffee County","69","Douglas","Georgia","13","0013","069"
"Colquitt County","71","Moultrie","Georgia","13","0013","071"
"Columbia County","73","Appling (de jure) and Evans (de facto)","Georgia","13","0013","073"
"Cook County","75","Adel","Georgia","13","0013","075"
"Coweta County","77","Newnan","Georgia","13","0013","077"
"Crawford County","79","Knoxville","Georgia","13","0013","079"
"Crisp County","81","Cordele","Georgia","13","0013","081"
"Dade County","83","Trenton","Georgia","13","0013","083"
"Dawson County","85","Dawsonville","Georgia","13","0013","085"
"Decatur County","87","Bainbridge","Georgia","13","0013","087"
"DeKalb County","89","Decatur","Georgia","13","0013","089"
"Dodge County","91","Eastman","Georgia","13","0013","091"
"Dooly County","93","Vienna","Georgia","13","0013","093"
"Dougherty County","95","Albany","Georgia","13","0013","095"
"Douglas County","97","Douglasville","Georgia","13","0013","097"
"Early County","99","Blakely","Georgia","13","0013","099"
"Echols County","101","Statenville","Georgia","13","0013","101"
"Effingham County","103","Springfield","Georgia","13","0013","103"
"Elbert County","105","Elberton","Georgia","13","0013","105"
"Emanuel County","107","Swainsboro","Georgia","13","0013","107"
"Evans County","109","Claxton","Georgia","13","0013","109"
"Fannin County","111","Blue Ridge","Georgia","13","0013","111"
"Fayette County","113","Fayetteville","Georgia","13","0013","113"
"Floyd County","115","Rome","Georgia","13","0013","115"
"Forsyth County","117","Cumming","Georgia","13","0013","117"
"Franklin County","119","Carnesville","Georgia","13","0013","119"
"Fulton County","121","Atlanta","Georgia","13","0013","121"
"Gilmer County","123","Ellijay","Georgia","13","0013","123"
"Glascock County","125","Gibson","Georgia","13","0013","125"
"Glynn County","127","Brunswick","Georgia","13","0013","127"
"Gordon County","129","Calhoun","Georgia","13","0013","129"
"Grady County","131","Cairo","Georgia","13","0013","131"
"Greene County","133","Greensboro","Georgia","13","0013","133"
"Gwinnett County","135","Lawrenceville","Georgia","13","0013","135"
"Habersham County","137","Clarkesville","Georgia","13","0013","137"
"Hall County","139","Gainesville","Georgia","13","0013","139"
"Hancock County","141","Sparta","Georgia","13","0013","141"
"Haralson County","143","Buchanan","Georgia","13","0013","143"
"Harris County","145","Hamilton","Georgia","13","0013","145"
"Hart County","147","Hartwell","Georgia","13","0013","147"
"Heard County","149","Franklin","Georgia","13","0013","149"
"Henry County","151","McDonough","Georgia","13","0013","151"
"Houston County","153","Perry","Georgia","13","0013","153"
"Irwin County","155","Ocilla","Georgia","13","0013","155"
"Jackson County","157","Jefferson","Georgia","13","0013","157"
"Jasper County","159","Monticello","Georgia","13","0013","159"
"Jeff Davis County","161","Hazlehurst","Georgia","13","0013","161"
"Jefferson County","163","Louisville","Georgia","13","0013","163"
"Jenkins County","165","Millen","Georgia","13","0013","165"
"Johnson County","167","Wrightsville","Georgia","13","0013","167"
"Jones County","169","Gray","Georgia","13","0013","169"
"Lamar County","171","Barnesville","Georgia","13","0013","171"
"Lanier County","173","Lakeland","Georgia","13","0013","173"
"Laurens County","175","Dublin","Georgia","13","0013","175"
"Lee County","177","Leesburg","Georgia","13","0013","177"
"Liberty County","179","Hinesville","Georgia","13","0013","179"
"Lincoln County","181","Lincolnton","Georgia","13","0013","181"
"Long County","183","Ludowici","Georgia","13","0013","183"
"Lowndes County","185","Valdosta","Georgia","13","0013","185"
"Lumpkin County","187","Dahlonega","Georgia","13","0013","187"
"Macon County","193","Oglethorpe","Georgia","13","0013","193"
"Madison County","195","Danielsville","Georgia","13","0013","195"
"Marion County","197","Buena Vista","Georgia","13","0013","197"
"McDuffie County","189","Thomson","Georgia","13","0013","189"
"McIntosh County","191","Darien","Georgia","13","0013","191"
"Meriwether County","199","Greenville","Georgia","13","0013","199"
"Miller County","201","Colquitt","Georgia","13","0013","201"
"Mitchell County","205","Camilla","Georgia","13","0013","205"
"Monroe County","207","Forsyth","Georgia","13","0013","207"
"Montgomery County","209","Mount Vernon","Georgia","13","0013","209"
"Morgan County","211","Madison","Georgia","13","0013","211"
"Murray County","213","Chatsworth","Georgia","13","0013","213"
"Muscogee County","215","Columbus","Georgia","13","0013","215"
"Newton County","217","Covington","Georgia","13","0013","217"
"Oconee County","219","Watkinsville","Georgia","13","0013","219"
"Oglethorpe County","221","Lexington","Georgia","13","0013","221"
"Paulding County","223","Dallas","Georgia","13","0013","223"
"Peach County","225","Fort Valley","Georgia","13","0013","225"
"Pickens County","227","Jasper","Georgia","13","0013","227"
"Pierce County","229","Blackshear","Georgia","13","0013","229"
"Pike County","231","Zebulon","Georgia","13","0013","231"
"Polk County","233","Cedartown","Georgia","13","0013","233"
"Pulaski County","235","Hawkinsville","Georgia","13","0013","235"
"Putnam County","237","Eatonton","Georgia","13","0013","237"
"Quitman County","239","Georgetown","Georgia","13","0013","239"
"Rabun County","241","Clayton","Georgia","13","0013","241"
"Randolph County","243","Cuthbert","Georgia","13","0013","243"
"Richmond County","245","Augusta","Georgia","13","0013","245"
"Rockdale County","247","Conyers","Georgia","13","0013","247"
"Schley County","249","Ellaville","Georgia","13","0013","249"
"Screven County","251","Sylvania","Georgia","13","0013","251"
"Seminole County","253","Donalsonville","Georgia","13","0013","253"
"Spalding County","255","Griffin","Georgia","13","0013","255"
"Stephens County","257","Toccoa","Georgia","13","0013","257"
"Stewart County","259","Lumpkin","Georgia","13","0013","259"
"Sumter County","261","Americus","Georgia","13","0013","261"
"Talbot County","263","Talbotton","Georgia","13","0013","263"
